timestamp,delta1,delta2_5,delta5,ema,price
2025-03-12 21:06:01.721265,-80.00003706999976,-107.7660770499995,-77.39275912,82182.48719058651,83214.87
2025-03-12 21:05:02.904599,-83.2635983599996,-110.45091317999936,-80.15603324999984,82183.71071999829,83250.815
2025-03-12 21:04:01.920495,-79.84116490999972,-108.4987277599993,-75.05152063999992,82183.1420925473,83213.995
2025-03-12 21:03:02.076120,-95.20588899999964,-121.03958654999946,-90.67914096999988,82182.9695435277,83234.085
2025-03-12 21:02:02.173520,-75.51698673999991,-101.33662522999975,-73.49408867000028,82181.20091607672,83179.095
2025-03-12 21:01:01.921821,-96.11055360999981,-119.90340530999956,-91.14669096,82182.56170039043,83208.105
2025-03-12 21:00:01.968236,-101.04928577999996,-126.79201367000019,-84.7247322200007,82177.85189646887,83103.925
2025-03-12 20:59:01.807061,-103.70392942000021,-132.9153105200002,-86.05172240000064,82139.42574589675,83099.995
2025-03-12 20:58:02.121776,-71.33576372999963,-92.06960225999939,-51.21777127000007,82137.44535373988,83057.085
2025-03-12 20:57:02.264969,-95.80286094999965,-116.61189302999958,-75.49304736999994,82137.82182432812,83124.325
2025-03-12 20:56:01.962338,-82.92364226999985,-105.42732867000024,-61.12515163000148,82136.2179027595,83041.665
2025-03-12 20:55:01.814037,-85.54062017999976,-107.88925336999978,-63.67862932000071,82135.85711844577,83022.515
2025-03-12 20:54:01.759134,-79.89907043999972,-102.50230525999939,-58.09525637000064,82135.38653021047,83030.355
2025-03-12 20:53:01.766224,-91.59838910999986,-115.01390583999998,-72.82403863000076,82136.29633413204,83042.815
2025-03-12 20:52:01.938422,-90.56225799999982,-119.96040610000006,-77.92003721000049,82138.61790275949,83062.595
2025-03-12 20:51:02.315834,-92.58146790999999,-117.87771773000043,-76.92362753000072,82137.18653021047,83070.005
2025-03-12 20:50:01.752015,-85.9413690699997,-115.23673201000003,-69.99853094000048,82137.15907923008,83082.865
2025-03-12 20:49:01.654533,-86.0876918399997,-115.48778315999968,-70.30633214000005,82138.45711844577,83087.85
2025-03-12 20:48:01.773875,-73.31945907999958,-102.80344966999948,-57.55906519999985,82138.06104001439,83087.125
2025-03-12 20:47:01.717676,-87.34957745999961,-121.96654498999933,-75.04250666999974,82140.4767262889,83150.145
2025-03-12 20:46:01.598413,-73.13785474999969,-107.87554619999935,-60.78981334999986,82140.27280472028,83099.42
2025-03-12 20:45:01.851840,-73.2546906499997,-108.25409028999957,-57.41384161999986,82139.35515766146,83113.275
2025-03-12 20:44:01.695572,-76.53344891999953,-111.1822636599992,-64.25297409999979,82139.81790275949,83116.625
2025-03-12 20:43:02.564487,-78.4353045099997,-113.80726900999932,-66.89320131999983,82139.7041772693,83121.995
2025-03-12 20:42:01.782096,-74.56328135999979,-110.44468870999941,-64.90385832999993,82141.1041772693,83145.895
