timestamp                  ,delta1                 ,delta2_5              ,delta5                ,ema                   ,price
2025-03-14 09:35:02.090980 ,-33.4766318799997      ,-164.1848416999994    ,-117.73824348000068   ,82040.45884702768     ,82693.885
2025-03-14 09:34:02.604757 ,-57.54182090999987     ,-185.82109474999993   ,-127.78582667000114   ,82041.14904310611     ,82714.635
2025-03-14 09:33:02.891949 ,-43.83596460999976     ,-174.38861114999958   ,-115.3620413600006    ,82042.45492545905     ,82746.455
2025-03-14 09:32:01.744843 ,-73.47766079999982     ,-182.66267496999987   ,-128.08141530000069   ,82044.50982741982     ,82819.285
2025-03-14 09:31:01.579555 ,-72.71700013999995     ,-204.48691873999985   ,-152.17334828000065   ,82048.8627685963      ,82915.665
2025-03-14 09:30:02.566044 ,-66.1371838499999      ,-199.1836687899998    ,-145.7386265600004    ,82047.44708232179     ,82859.865
2025-03-14 09:29:02.433553 ,-67.6884328699999      ,-201.07589122999988   ,-148.8912250400005    ,82047.75688624335     ,82888.265
2025-03-14 09:28:02.350476 ,-78.79904372999991     ,-210.25102288999983   ,-138.60756284000058   ,82048.1764940865      ,82880.445
2025-03-14 09:27:02.223537 ,-71.6114852800001      ,-202.5755999200001    ,-148.83337719000065   ,82047.79610192963     ,82873.845
2025-03-14 09:26:01.623688 ,-81.36085073999999     ,-208.16554462000002   ,-140.15738359000056   ,82046.51374898845     ,82845.99
2025-03-14 09:25:02.491925 ,-61.94329365999985     ,-187.7214241099998    ,-119.74143538000067   ,82045.48237643944     ,82824.145
2025-03-14 09:24:02.792313 ,-67.54611686000001     ,-198.15441280999994   ,-130.06091881000083   ,82045.26669016494     ,82823.63
2025-03-14 09:23:02.358230 ,-76.89840104999982     ,-200.7900992599999    ,-132.83691058000085   ,82045.28629800807     ,82822.945
2025-03-14 09:22:02.148506 ,-74.42435493999994     ,-195.26519830999985   ,-127.34123611000075   ,82045.41178820415     ,82817.455
2025-03-14 09:21:02.115859 ,-67.46794733999991     ,-172.44014406999966   ,-118.96921277000064   ,82043.89806271395     ,82770.955
2025-03-14 09:20:02.176309 ,-75.25415835999988     ,-179.26592982999955   ,-125.8309411400005    ,82043.67061173356     ,82774.805
2025-03-14 09:19:02.575102 ,-66.27261615999981     ,-172.1714795999997    ,-117.73398244000055   ,82042.73727840022     ,82758.185
2025-03-14 09:18:02.114343 ,-68.26593654999988     ,-175.31546109999962   ,-120.53403775000038   ,82043.25100389041     ,82754.575
2025-03-14 09:17:02.687332 ,-59.85217393999977     ,-168.33567695999946   ,-109.16352408000046   ,82041.6470823218      ,82725.555
2025-03-14 09:16:02.166031 ,-65.27626662999972     ,-172.27152145999955   ,-112.46370437000076   ,82040.03923918454     ,82675.195
2025-03-14 09:15:02.594550 ,-64.17657024999974     ,-176.89836330999967   ,-117.57036353000103   ,82038.03139604728     ,82621.635
2025-03-14 09:14:02.442846 ,-69.93582638999973     ,-189.96702488999964   ,-124.1313727400007    ,82038.35296467473     ,82639.595
2025-03-14 09:13:01.687857 ,-83.61874103999989     ,-183.51063354999968   ,-127.11112886000097   ,82039.31767055708     ,82716.335
2025-03-14 09:12:02.421743 ,-68.57409758999998     ,-185.05031937999973   ,-128.64234088000086   ,82041.75296467473     ,82732.025
2025-03-14 09:11:02.193692 ,-82.8951440699997      ,-147.7410610799994    ,-91.15871556000047    ,82041.7490431061      ,82679.5
2025-03-14 09:10:02.818730 ,-94.08266339999983     ,-158.86438648999948   ,-102.38406116000073   ,82041.    03139604728 ,82714.7
2025-03-14 09:09:02.744680 ,-72.77965422999978     ,-146.8699891399995    ,-90.89112518000081    ,82039.8784548708      ,82672.745
2025-03-14 09:08:02.734933 ,-82.81625552999978     ,-157.1908115399994    ,-100.84450868000062   ,82041.10198428258     ,82705.125
2025-03-14 09:07:02.864803 ,-75.88478988999978     ,-149.32898698999975   ,-92.9353694500009     ,82041.1059058512      ,82692.625
2025-03-14 09:06:02.872279 ,-74.96774004999978     ,-144.74070154999944   ,-88.35852186000056    ,82041.25100389041     ,82697.155
2025-03-14 09:05:02.582793 ,-80.95517711999992     ,-147.38474130999964   ,-95.3258344700007     ,82040.03923918454     ,82665.115
2025-03-14 09:04:02.309930 ,-56.731335709999684    ,-136.31246752999925   ,-79.59784550000046    ,82038.3490431061      ,82651.835
2025-03-14 09:03:01.993839 ,-51.38283137999966     ,-130.55673669999922   ,-82.25700840000047    ,82038.2039450669      ,82631.145
2025-03-14 09:02:02.424826 ,-77.86402104999988     ,-157.1939076699999    ,-93.83688044000075    ,82037.16865094924     ,82581.885
2025-03-14 09:01:02.073910 ,-75.74267113999971     ,-154.74384783999966   ,-92.52268810000055    ,82035.4196313414      ,82602.215
2025-03-14 09:00:02.207970 ,-72.03358120999962     ,-153.12229543999953   ,-89.89597804000027    ,82036.45492545905     ,82571.98
2025-03-14 08:59:02.072559 ,-63.95449792999966     ,-142.9866418499996    ,-79.70609260000037    ,82013.428065402       ,82576.625
2025-03-14 08:58:02.227182 ,-61.3480952699997      ,-140.73716070999959   ,-77.36498907000043    ,82014.32218304905     ,82599.505
2025-03-14 08:57:02.238047 ,-61.86300655999975     ,-144.46922873999964   ,-81.14230938000048    ,82012.07904579415     ,82554.655
2025-03-14 08:56:02.241724 ,-55.08061043999973     ,-137.5647600899996    ,-74.21910302000049    ,82011.77708500983     ,82554.075
2025-03-14 08:55:01.871818 ,-73.1242511699997      ,-151.76414535999987   ,-90.44724855000055    ,82013.75355559807     ,82585.655
2025-03-14 08:54:01.956842 ,-69.73716679999978     ,-153.77261817999977   ,-90.73161482000063    ,82011.26728108827     ,82522.855
2025-03-14 08:53:02.392222 ,-56.559442579999654    ,-138.5332703099999    ,-78.3540954000008     ,82010.90649677454     ,82515.515
2025-03-14 08:52:02.233782 ,-46.933129519999596    ,-150.6890389499998    ,-79.79599445000059    ,82010.98884971571     ,82533.22
2025-03-14 08:51:02.803086 ,-62.80180429999959     ,-142.18184729999993   ,-79.76668168000077    ,82011.43983010788     ,82521.935
2025-03-14 08:50:02.428132 ,-62.49499151999959     ,-143.49425644999994   ,-76.42212444000023    ,82012.66728108826     ,82556.295
2025-03-14 08:49:02.851299 ,-58.026026729999614    ,-134.30466070999955   ,-75.5032024000003     ,82013.58100657846     ,82594.745
2025-03-14 08:48:02.073273 ,-53.53415075999973     ,-135.50323389999963   ,-72.44190029000043    ,82011.62414383337     ,82531.71
2025-03-14 08:47:02.229864 ,-85.22133063999968     ,-149.43204578999945   ,-86.45221618000039    ,82015.36139873532     ,82623.085
2025-03-14 08:46:01.748726 ,-84.08447292999955     ,-146.17004461999957   ,-87.16076880000043    ,82013.94571246082     ,82590.125
2025-03-14 08:45:02.315459 ,-52.15934552999971     ,-140.01974176999988   ,-80.08175055000066    ,82009.79669285296     ,82491.455
2025-03-14 08:44:02.203220 ,-53.26571509999977     ,-144.06660412999972   ,-84.94158867000044    ,82009.03198697061     ,82468.63
2025-03-14 08:43:02.151703 ,-48.321484819999625    ,-138.78524239999973   ,-79.51651366000044    ,82008.1025752059      ,82467.065
2025-03-14 08:42:02.124034 ,-45.193342969999804    ,-125.17290842999981   ,-76.13637000000028    ,82006.8437516765      ,82411.635
2025-03-14 08:41:02.352218 ,-42.558008079999695    ,-124.54350279999994   ,-72.3499190600005     ,82007.7731634412      ,82425.545
2025-03-14 08:40:02.219634 ,-6.005942739999995     ,-128.1168222000002    ,-65.63228631000078    ,82005.33786932356     ,82388.425
2025-03-14 08:39:02.344851 ,-41.189138659999855    ,-122.6830808600001    ,-69.7086722900006     ,82006.1574771667      ,82401.37
2025-03-14 08:38:01.633882 ,-14.29669992999996     ,-133.77879629999984   ,-70.13963080000042    ,82004.8006144216      ,82359.83
2025-03-14 08:37:02.191801 ,-11.610196189999868    ,-124.77041768999968   ,-59.120565120000094   ,82004.91826148042     ,82370.97
2025-03-14 08:36:01.710228 ,-2.3232403199999965    ,-120.32540643999992   ,-53.72434132000052    ,82003.51826148042     ,82294.845
2025-03-14 08:35:02.815520 ,-14.69206428000004     ,-120.28697363999987   ,-65.54988852000076    ,82004.11826148043     ,82335.42
2025-03-14 08:34:02.402561 ,-50.18151215999981     ,-139.22436298999992   ,-78.48646927000027    ,82006.1300261863      ,82382.575
2025-03-14 08:33:02.321565 ,-55.014061839999755    ,-135.8030778799999    ,-83.48189611000043    ,82006.92610461768     ,82401.04
2025-03-14 08:32:01.948491 ,-63.90471175999983     ,-155.24977305999994   ,-83.70095833000067    ,82009.4868889314      ,82497.14
2025-03-14 08:31:02.413269 ,-76.63811906999976     ,-157.1512980499997    ,-94.28428452000043    ,82012.59669285297     ,82512.855
2025-03-14 08:30:02.090565 ,-60.86110551999971     ,-147.74081009999992   ,-88.77741227000053    ,82008.7300261863      ,82437.525
2025-03-14 08:29:02.524660 ,-59.60236544999964     ,-148.08594124999965   ,-88.49636511000045    ,82009.79277128434     ,82498.525
2025-03-14 08:28:02.187641 ,-69.37730578999964     ,-146.87939500999974   ,-88.23514215000034    ,82012.76532030395     ,82567.525
2025-03-14 08:27:03.033241 ,-72.03004886999952     ,-153.59317878999946   ,-90.83361229000047    ,82011.63590853925     ,82548.795
2025-03-14 08:26:01.894309 ,-68.06734787999966     ,-148.76915136999966   ,-86.54627622000044    ,82010.84767324512     ,82495.52
2025-03-14 08:25:02.937251 ,-67.33057360999985     ,-154.83227683999974   ,-95.80569466000009    ,82008.34571246081     ,82474.495
2025-03-14 08:24:02.250836 ,-72.65649970999982     ,-159.92109069         ,-100.3388616200005    ,82008.98492814708     ,82481.115
2025-03-14 08:23:03.252522 ,-63.69770738999995     ,-151.47426586999978   ,-92.37701296000034    ,82008.31826148042     ,82449.475
2025-03-14 08:22:02.631470 ,-66.4731126899998      ,-160.61219520999958   ,-98.7644482800003     ,82008.93786932356     ,82489.63
2025-03-14 08:21:01.594477 ,-66.66898905999963     ,-154.29968007999972   ,-94.63174246000045    ,82008.8006144216      ,82468.085
2025-03-14 08:20:02.179197 ,-81.54599380999966     ,-156.66855936999988   ,-93.89494244000065    ,82009.87512422552     ,82478.8
2025-03-14 08:19:01.890647 ,-85.8743466799998      ,-158.39906835999986   ,-98.46151449000052    ,82009.5143399118      ,82489.715
2025-03-14 08:18:02.327193 ,-97.77122681999985     ,-169.26742339000006   ,-110.07009579000044   ,82008.00453599023     ,82486.5
2025-03-14 08:17:01.777674 ,-76.46094692999964     ,-139.86347663999973   ,-86.8665223300003     ,82009.45551638238     ,82415.285
2025-03-14 08:16:02.318467 ,-68.64391593999974     ,-149.24497329999974   ,-93.59684440000046    ,82005.78100657846     ,82394.235
2025-03-14 08:15:02.246165 ,-26.756512919999807    ,-144.73776539999992   ,-77.99027901000073    ,82002.52610461767     ,82297.25
2025-03-14 08:14:02.278449 ,-10.02685362999999     ,-127.54456769999997   ,-70.33112056000039    ,82001.54571246081     ,82242.04
2025-03-14 08:13:02.716798 ,-17.70963735000005     ,-128.89740870999987   ,-68.50198668000019    ,81999.8006144216      ,82239.175
2025-03-14 08:12:01.789917 ,-20.597209450000022    ,-139.16257710999994   ,-72.36315912000032    ,82002.62414383337     ,82306.235
2025-03-14 08:11:02.151530 ,-28.564222529999995    ,-146.95823304999976   ,-84.66230275000026    ,82002.74963402945     ,82330.085
2025-03-14 08:10:02.212272 ,-43.06587667999996     ,-159.50790740999992   ,-91.21585251000056    ,82001.72218304905     ,82316.825
2025-03-14 08:09:02.768891 ,-35.95914276000002     ,-153.70715646999992   ,-87.04030537000045    ,82002.40453599022     ,82314.055
2025-03-14 08:08:02.557666 ,-39.54989335999994     ,-158.46048487999988   ,-92.33838345000049    ,82003.75355559807     ,82346.595
2025-03-14 08:07:01.742465 ,-43.62546452999976     ,-140.9637048399999    ,-79.73096757000093    ,82003.98884971571     ,82346.67
2025-03-14 08:06:02.048560 ,-22.778476709999893    ,-157.22120564999977   ,-64.13832057000093    ,82000.90649677454     ,82265.765
2025-03-14 08:05:02.372082 ,-35.286886259999875    ,-151.84669894999982   ,-83.36728363000066    ,82001.66335951963     ,82277.615
2025-03-14 08:04:02.620213 ,-45.54774773999995     ,-148.2062196799998    ,-81.733066610001      ,82001.79669285296     ,82270.705
2025-03-14 08:03:02.595025 ,-22.472984489999675    ,-128.63698821999986   ,-67.96929944000061    ,82000.18100657847     ,82244.825
2025-03-14 08:02:01.870541 ,-20.11810801999971     ,-124.28949336999989   ,-60.698197160000745   ,81998.14963402944     ,82166.125
2025-03-14 08:01:01.778891 ,-3.6579189599997903    ,-125.9839359499997    ,-65.25170008000055    ,81997.15355559807     ,82178.005
2025-03-14 08:00:01.732817 ,-9.170339459999923     ,-130.77926501000007   ,-68.15564623000091    ,81997.12218304905     ,82178.775
2025-03-14 07:59:02.226345 ,-11.767895799999934    ,-131.41287337         ,-69.88020624000097    ,81997.92020410717     ,82205.005
2025-03-14 07:58:02.730219 ,-29.280151759999683    ,-135.0049107999994    ,-76.3871547400002     ,81998.79863547972     ,82233.125
2025-03-14 07:57:01.994192 ,-28.935044279999687    ,-142.52561606999924   ,-75.23650493000048    ,81999.76334136206     ,82251.785
2025-03-14 07:56:02.700978 ,-39.02854853999969     ,-141.07414708999931   ,-80.25077750000025    ,82001.28883155815     ,82291.77
2025-03-14 07:55:02.087710 ,-45.101816799999824    ,-154.52602707999958   ,-89.46909313000066    ,82002.30059626403     ,82327.735
2025-03-14 07:54:02.098875 ,-37.74533152999993     ,-149.40948748999998   ,-82.69906027000081    ,82001.00647861697     ,82287.935
2025-03-14 07:53:02.971166 ,-33.076030470000006    ,-145.82749008999994   ,-79.02874283000091    ,81999.97902763658     ,82243.745
2025-03-14 07:52:02.010653 ,-34.33483236999987     ,-141.57463882999983   ,-81.22569208000056    ,81999.037851166       ,82235.405
2025-03-14 07:51:01.793182 ,-12.681048669999853    ,-134.13005332999995   ,-73.99783812000078    ,81998.2809884209      ,82195.645
2025-03-14 07:50:01.927532 ,-12.085235879999829    ,-137.61957924999976   ,-74.1596721300005     ,81998.97118449933     ,82219.075
2025-03-14 07:49:02.104668 ,-21.157882959999824    ,-146.05377924999988   ,-73.50771389000079    ,81998.90451783266     ,82238.96
2025-03-14 07:48:02.574047 ,-24.21043343999986     ,-152.97405975999945   ,-86.18608929000033    ,82000.34765508756     ,82302.315
2025-03-14 07:47:01.673735 ,-42.7198232999998      ,-154.7308948499997    ,-91.20014115000072    ,82003.23000802874     ,82361.03
2025-03-14 07:46:02.121318 ,-91.21312118999981     ,-147.21437732999973   ,-102.66034246000038   ,82006.50059626403     ,82378.27
2025-03-14 07:45:01.710840 ,-52.952059319999876    ,-142.3151626300001    ,-79.15516613000091    ,82003.70843940128     ,82353.305
2025-03-14 07:44:02.211205 ,-57.19114939999983     ,-150.3452791299998    ,-88.5610141500008     ,82002.89275312677     ,82312.985
2025-03-14 07:43:02.256613 ,-46.74125915999974     ,-133.7609442399997    ,-73.7846604900003     ,81998.57902763657     ,82203.045
2025-03-14 07:42:02.129565 ,-34.34717982999999     ,-140.04481163999975   ,-76.68944601000067    ,81994.41824332286     ,82118.945
2025-03-14 07:41:01.974280 ,-33.74304871999999     ,-145.08959091999967   ,-72.34100883000065    ,81994.35157665619     ,82125.705
2025-03-14 07:40:02.282346 ,-42.41387326           ,-145.19230663999983   ,-49.15640326000067    ,81993.13196881305     ,82080.72
2025-03-14 07:39:01.922702 ,-37.17223794           ,-128.64081596999986   ,-46.76972836000073    ,81990.57902763657     ,82018.145
2025-03-14 07:38:02.649541 ,-35.97740040000008     ,-139.81008989000003   ,-41.353785310000774   ,81992.17118449933     ,82059.005
2025-03-14 07:37:02.909869 ,-28.74252219999991     ,-133.25869516999958   ,-38.854435830000455   ,81992.17118449933     ,82054.905
2025-03-14 07:36:03.024020 ,-35.07397112000004     ,-138.8526735499998    ,-44.42225376000056    ,81992.46530214639     ,82057.865
2025-03-14 07:35:02.978098 ,-32.04464848999996     ,-128.7313047000002    ,-45.319794320000824   ,81992.46530214639     ,82068.305
2025-03-14 07:34:01.684711 ,-26.003033699999975    ,-131.1411688699999    ,-36.454784720000646   ,81992.94765508756     ,82090.895
2025-03-14 07:33:03.126000 ,-29.64448142999987     ,-134.31099226999956   ,-38.4370783800004     ,81993.66530214639     ,82093.695
2025-03-14 07:32:02.716396 ,-28.44955890999998     ,-121.71015693999982   ,-40.39237598000062    ,81991.59079234247     ,82036.515
2025-03-14 07:31:02.146621 ,-32.87139859999999     ,-123.27410203999963   ,-42.51499606000044    ,81990.68490998952     ,82009.585
2025-03-14 07:30:03.060587 ,-24.593390940000035    ,-116.94692401999993   ,-35.067946580000864   ,81991.80255704834     ,82044.185
2025-03-14 07:29:02.338682 ,-32.01371055000001     ,-135.5302239799999    ,-41.1125248000007     ,81992.19079234246     ,82073.655
2025-03-14 07:28:02.352108 ,-36.27284927000008     ,-140.72631495000002   ,-44.09713740000086    ,81992.23785116599     ,82071.325
2025-03-14 07:27:02.615447 ,-28.778103290000047    ,-132.72993569999994   ,-36.21018994000087    ,81992.39863547971     ,82064.7
2025-03-14 07:26:02.490796 ,-28.397580190000127    ,-129.85638783         ,-27.464962750001007   ,81992.2809884209      ,82051.365
2025-03-14 07:25:02.386234 ,-25.05497268000002     ,-113.35245049999992   ,-31.343192660000852   ,81991.77118449932     ,82068.995
2025-03-14 07:24:01.711742 ,-28.66357534999986     ,-131.84642849999997   ,-37.16361976000093    ,81992.27706685227     ,82062.035
2025-03-14 07:23:02.924394 ,-21.557906799999927    ,-111.7023962699999    ,-29.715005250000843   ,81991.30451783266     ,82037.395
